형태소,file_name,file_num
%,,
0,,
0.3%p,,
0.5%p,,
1,,
"1,000,000",,
"1,234,567",,
100000,,
1000000,,
12,,
1234,,
1만원,,
2,2,10434
2.85,,
#######,,
2024.11.08,,
24,,
3,,
3,,
300000,,
300만원,,
30만원,,
36,,
4.3,,
4.50%,,
4.85%,,
431402-04-174943,,
"5,000,000",,
"5,678,901",,
500000,,
5678,,
6,,
6개월마다,,
8,,
"9,012,345",,
English,영어,12229
KB,,
PC,소형컴퓨터,4916
가계,가계,8605
가능,가능,14042
가능한,가능 + 하다,14042 + 14721
가입,가입,14472
가입이,,
강요,강요,18144
개설한,개설 + 하다,6671 + 14721
개요,목차,17194
개월,개월,16393
개인,개인,12029
거래,거래,13851
거래를,거래,13851
거래처,거래 + 곳,13851 + 12204
거래처가,,
거치식,정하다 + 기간 + 지급 + 않다,13524 + 11528 + 15600 + 15905
경우,경우,14321
계좌,예금 계좌,9056
고객,고객,14920
고객의,고객,14920
고시,고시,18245
공동,공동,8196
공용,함께 + 사용,11537 + 14912
공정,올바르다,15799
과,과,12331
구분,구분,13617
국민,국민,13519
권리,권리,18018
권리가,,
그,그,15567
그러나,그러나,16526
그룹,그룹,11645
글자,글자,16698
금리,금리,17639
금리가,,
금리는,금리 + 는,17639 + 2920
금액,금액,17884
금융,금융,15812
금융사,금융 + 사,15812 + 18139
급여,급여 소득,1385
급여하나,,
기간,기간,11528
기관,기관,18
기기,기계,17747
기본,기본,14683
까지,까지,15213
납입,납입,15599
낮은,낮다,13425
내,내,12455
내역,내역,14178
내용,내용,14176
내준,내주다,17496
노출,노출,5892
님,,
다른,다르다,17506
다만,다만,15409
다양한,여러가지,9384
다음,다음,12962
당시,"때, 시기",14320
당행,이 + 은행,7296 + 15813
대상,목적,13438
대출,돈 + 빌리다,17885 + 13021
대하여,,
대해,,
동의,동의,16245
되며,되다 + 며,17701 + 9551
되었,되다 + 었,17701 + 14244
될,되다 + 미래형,17701 + 8306
됩니다,,
등,"들, 여러",16027
디스크,디스크,4682
따라,따라,7745
따라야,,
때,때,14320
때는,때 + 은,14320 / 400
또는,또,16898
로그아웃,로그아웃,7701
로그인,로그인,15939
로컬,지역,14381
마세요,말다,14263
만기,만기,1721
만기일,만기일,7503
만료일,종료 + 날,15215 + 14618
말한다,말하다,12138
맞는,맞다,15559
매체,수단,14464
메뉴,메뉴,17896
면제,면제,12895
모든,모든,13214
모바일,휴대폰,12311
미리,미리,13042
미사용,사용 + 않다,14912 + 15905
및,"그리고, 또",16899
바랍니다,바라다,18301
바에,,
밖에,밖에,12575
반드시,꼭,12372
받고,받다,16082
받는,받다,16082
발급자,제공자,3830
방법,방법,16974
번호,번호,15744
범위,구역,14380
변경,변경,12889
변동,변동,12890
보다,보다,11409
보시기,보다,11409
보안,보안,4892
본인,본인,13508
부득이한,마지못하다 + 할 수 없다,16853 + 12571
불특정,특별히 + 정하다 + 않다,12586 + 13524 + 15905
브라우저,웹브라우저,9304
비교,비교,15133
비밀번호,패스워드,5516
비밀번호는,패스워드 + 는,5516 + 2920
사업자,사업 + 사람,16418 + 15636
사업자등록증,사업 + 사람 + 등록 + 문서,16418 + 15636 + 14473 + 14581
사용,사용,14912
사용자,사용자,15970
사용중,사용 + 현재진행,14912 + 8590
사이,사이,11527
사정,사정,13337
사항,사항,14179
상담,상담,14808
상세,상세하다,13011
상품,상품,17391
상품명,상품 + 명,17391 + 12792
서류,서류,14580
서명,"이름 + 쓰다, 적다",12791 + 12915
선택,선택,13499
설명,설명,14142
설명서,설명 + 종이,14142 + 13848
설명서와,설명 + 종이 + 그리고,14142 + 13848 + 16889
성공적으로,성공,17618
세금,세금,
센터,센터,16007
소비자,소비자,15971
수,수,13547
수수료,수수료,17891
수표,수표,11204
습니다,-습니다,102
시,시,16443
시기,시기,14322
신규,"새롭다, 신 + 규칙",14306 + 17032
신규일,신 + 규칙 + 날짜/일자,14306 + 17032 + 14618
신규한,,
신용,신용,16203
신한,,
실명,실명,16540
실명의,실명,16540
실적,일 + 결과,14679 + 13582
실적에,일 + 결과 + 에1,14679 + 13582 + 224
쓰는,"쓰다,사용",14914
아이디,인터넷 + 이름,15955 + 12791
안내,안내,14197
안전하게,안전,17739
안전한,안전,17739
않아야,않다 +,15905 +
알림,알리다,17288
암호,패스워드,5516
약관,약관,9178
약관을,약관 + 을,9178 + 9834
약정,약정,2150
약정한,약정 + 하다,2150 + 14721
어음,어음,1854
없이도,,
에서,에서,7730
연,연,18168
영업점,영업 + 곳,12644 + 12204
예금,예금,15392
예약,예약,13916
완료,끝내다,14741
요구,요구,18374
요소,조건,13087
요청권,요청+권리,1837 / 18018
용지로,용지 + 로1,13874 + 3140
우대,특별히 + 대우,12586 / 12779
우리,우리,14502
원,원,18306
원금,원금,16427
원금이,원금,16427
월,월,17134
월복리,월 + 복리,17134/ 17446
위,위,11904
위하여,위하다,18086
위한,위하다,18086
위해,위하다,18086
위험,위험,15683
유의,조심,14151
으로,으로,390
은행,은행,15813
이,이,12822
이나,이나,270
이상,이상,11905
이에,이것 + 에,16841 / 226
이용,이용,14915
이전,이전,13291
이체,돈 + 보내다,17885 + 13150
이하,이하,13561
이해,이해,18002
이후,이후,14374
인증서,공인인증서,4494
인증서로,공인인증서,4494
인터넷,인터넷,15955
일반,일반,17578
일자,일자,14619
읽어,읽다,12499
입금,돈 + 받다,17885 / 16082
입력,입력,5295
입출금,돈 + 주고받다,17885 / 14389
있고,있다,15651
있다,있다,15651
있습니다,있다,15651
있을,있다,15651
자동,자동,16846
자산,자산액,2583
자신,자신,14354
자유로운,자유,13406
자유롭고,자유,13406
자주,자주,13456
작성,작성,16169
잔액,잔액,14629
장소,장소,12206
저축,저축,15391
적금,적금,15393
적립식,적립금 + 방식,7054 / 16976
적용,맞추다 + 쓰다,15695 / 14914
전,전,13334
전산,전자 + 계산,15247 / 17723
전이라도,이전 + 이라도,13336 / 275
전자,전자,13380
전체,전체,13212
전화,전화,12950
절대,절대,12797
정보,정보,15132
정보는,정보,15132
정하고,정하다,13524
정하는,정하다 + 은,13524
정한,정하다,13524
정확,정확,13961
제1조,,
제2조,,
제3조,,
제4조,,
제공,제공,17498
제시나,제시,14572
제출,제출,14220
조건,조건,13087
조회,조사,14898
종류,종류,15877
주,주,522
주기적으로,주기적,3838
주민등록증,주민등록증,18403
주의,주의,14152
중도,중도,14561
중에,동안,11526
중요한,중요,12722
증표,증명,14548
지급,지급,15600
직장인을,회사원,18339
찾기,찾기,5315
철회,중지,11409
철회가,중지,11409
철회권,취소권,15042
청구,요구,18374
청약,계약 + 맺다 + 의사 + 표시,13913 / 13914 / 12216 / 15273
최고,최고,14814
최대,가장 + 높다,14815 / 16894
최저,가장 + 낮다,14815 / 13425
추천,소개,12756
출금,출금,16174
충분한,충분하다,14360
충분히,충분하다,14360
취소,중지,14409
카드,카드,12258
클라우드,인터넷 + 보관소,15955 / 16218
타인에게,타인 + 에게,"17903 + 227 (에게)
"
통신,통신,15963
통장,통장,11913
통하여,통하다,11914
투자,투자,16804
특약,특별 + 계약,12584 / 13913
특정,특별히 + 정하다,12586 / 13524
특징,특성,17851
판매,판매,18258
포인트리,,
표시,표시,15273
필수,필수,12375
필요한,필요,11545
하게,,
하고,하고,17690
하기,,
하나,하나,17087
하는,,
하세요,하다,14721
하시기,,
하여,,
하여야,,
하였음,하다 + 었,14721 / 14244
하지,,
한다,하다,14721
한도,한도,12923
할,하다 + 미래형,14721 + 8306
합니다,,
항목,사항,14179
해야,,
해지,해지,16317
현재,현재,12767
현황,현재 + 상황,13102 / 15261
혜택,이익,1962
확인,확실하다 + 인정,13968 / 12856
확장,확장,13360
환율,기준 환율,8693
회원,회원,15267
후,후,14375
희망,희망,15842
히,,
미국,,13270
기술,,15382
경제,,1226
안보,안전+보장,17739 / 15224
국방,,18200
사회,,14351
문화,,13057
산업,,1884
정책,,11812
물가,,17883
안정,,5984
완전고용,,2303
지표,,15273
성장률,,1961
실업률,,12566
연사,,18088
관심,,
영향,,15645
발전,,16448
정부,,
민간,,11832
여야,,
변화,,16891
대응,,13643
혁신,,17795
전략,,
협력,힘 + 합치다,16041 / 15162
엔지니어,기술자,15819
망상,,2761
빅테크,,
경쟁,,18243
스타트업,,
비서,,11699
영화,,16554
주인공,,17721
관리,,12537
전투,,14831
보조,,14187
명령,,14801
정보,,8015
결정,,13523
컴퓨터,소형컴퓨터,4916
취득,,
정리,,11811
현실,,11495
급성장,,17592
연구자,,
주도,이끌다,14201
대전환,전환,13682
특이점,,
기대,기대다,18380
상실,,17208
재앙,,8273
두려움,,15940
전쟁,,14830
시스템,,9292
제거,,12601
대상,,
인물,사람,15636
폭격,,
건물,,
식별,찾기,5315
상황,,15261
주목,,
이유,,16875
